name;dosage;form
Acetilsalicilato de lisina;1800 mg/5 ml;Pó e solvente para solução injetável
Acetilsalicilato de lisina;900 mg;Pó para solução oral
Acetilsalicilato de lisina;900 mg/5 ml;Pó e solvente para solução injetável
Acetonido de fluocinolona;0.1 mg/0.4 ml;"Gotas auriculares; solução em recipiente unidose"
Acetonido de fluocinolona;0.25 mg/g;Creme
Acetonido de fluocinolona;190 µg;Implante intravítreo em aplicador
Acetonido de fluocinolona + Ciprofloxacina;0.25 mg/ml + 3 mg/ml;"Gotas auriculares; solução"
Acetonido de fluocinolona + Ciprofloxacina;Associação;"Gotas auriculares; solução em recipiente unidose"
Acetonido de fluocinolona + Lidocaína + Subgalhato de bismuto;Associação;Pomada retal
Acetonido de fluocinolona + Neomicina;3.5 mg + 0.25 mg;Creme
Acetonido de fluocinolona + Neomicina + Polimixina B;Associação;"Gotas auriculares; solução"
Aciclovir;200 mg;Comprimido
Aciclovir;25 mg/ml;Concentrado para solução para perfusão
Aciclovir;250 mg;Pó para solução para perfusão
Aciclovir;250 mg/10 ml;Solução para perfusão
Aciclovir;30 mg/g;Pomada oftálmica
Aciclovir;400 mg;Comprimido
Aciclovir;50 mg/g;Creme
Aciclovir;50 mg/g;Gel
Aciclovir;50 mg/g;Lápis cutâneo
Aciclovir;500 mg;Pó para solução para perfusão
Aciclovir;80 mg/ml;Suspensão oral
Aciclovir;800 mg;Comprimido
Aciclovir;800 mg;Comprimido dispersível
Aciclovir + Hidrocortisona;50 mg/g + 10 mg/g;Creme
Ácido 5-aminolevulínico;1.5 g;Pó para solução oral
Ácido 5-aminolevulínico;78 mg/g;Gel
Ácido 5-aminolevulínico;8 mg;Emplastro medicamentoso
Ácido acetilsalicílico;100 mg;Comprimido
Ácido acetilsalicílico;100 mg;Comprimido gastrorresistente
Ácido acetilsalicílico;100 mg;Comprimido revestido por película
Ácido acetilsalicílico;1000 mg;Comprimido revestido
Ácido acetilsalicílico;150 mg;Cápsula de libertação modificada
Ácido acetilsalicílico;150 mg;Comprimido
Ácido acetilsalicílico;150 mg;Comprimido gastrorresistente
Ácido acetilsalicílico;150 mg;Comprimido revestido por película
Ácido acetilsalicílico;162.5 mg;Cápsula
Ácido acetilsalicílico;300 mg;Cápsula de libertação modificada
Ácido acetilsalicílico;500 mg;Comprimido
Ácido acetilsalicílico;500 mg;Comprimido efervescente
Ácido acetilsalicílico;500 mg;Comprimido revestido
Ácido acetilsalicílico;500 mg;Granulado
Ácido acetilsalicílico;75 mg;Cápsula
Ácido acetilsalicílico;75 mg;Comprimido gastrorresistente
Ácido acetilsalicílico;75 mg;Comprimido revestido por película
Ácido acetilsalicílico + Ácido ascórbico;400 mg + 240 mg;Comprimido efervescente
Ácido acetilsalicílico + Ácido ascórbico + Cafeína;500 mg + 100 mg + 50 mg;Comprimido
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 20 mg + 10 mg;Cápsula
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 20 mg + 2.5 mg;Cápsula
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 20 mg + 5 mg;Cápsula
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 40 mg + 10 mg;Cápsula
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 40 mg + 2.5 mg;Cápsula
Ácido acetilsalicílico + Atorvastatina + Ramipril;100 mg + 40 mg + 5 mg;Cápsula
Ácido acetilsalicílico + Cafeína;500 mg + 30 mg;Comprimido
Ácido acetilsalicílico + Dipiridamol;25 mg + 200 mg;Cápsula de libertação prolongada
Ácido acetilsalicílico + Paracetamol + Ácido ascórbico;300 mg + 200 mg + 300 mg;Comprimido efervescente
Ácido acetilsalicílico + Paracetamol + Cafeína;250 mg + 250 mg + 65 mg;Comprimido revestido por película
Ácido acetilsalicílico + Pseudoefedrina;500 mg + 30 mg;Granulado para suspensão oral
Ácido alendrónico;10 mg;Comprimido
Ácido alendrónico;70 mg;Comprimido
Ácido alendrónico;70 mg;Comprimido efervescente
Ácido alendrónico;70 mg;Comprimido revestido por película
Ácido alendrónico;70 mg/100 ml;Solução oral
Ácido alendrónico + Cálcio + Colecalciferol;(70 mg) + (500 mg + 800 U.I.);Comprimido revestido + Comprimido
Ácido alendrónico + Colecalciferol;70 mg + 2800 U.I.;Comprimido
Ácido alendrónico + Colecalciferol;70 mg + 5600 U.I.;Comprimido
Ácido aminocapróico;2500 mg/10 ml;Solução para perfusão
Ácido aminocapróico;3000 mg;Pó para solução oral
Ácido ascórbico;100 mg/2 ml;Solução injetável
Ácido ascórbico;100 mg/ml;"Gotas orais; solução"
Ácido ascórbico;1000 mg;Comprimido efervescente
Ácido ascórbico;1000 mg;Granulado
Ácido ascórbico;500 mg;Cápsula
Ácido ascórbico;500 mg/5 ml;Solução injetável
Ácido azelaico;150 mg/g;Gel
Ácido azelaico;200 mg/g;Creme
Ácido bempedoico;180 mg;Comprimido revestido por película
Ácido bempedoico + Ezetimiba;180 mg + 10 mg;Comprimido revestido por película
Ácido bórico + Ácido salicílico + Óxido de zinco e outras associações;Associação;Pó cutâneo
Ácido carglúmico;200 mg;Comprimido dispersível
Ácido cítrico + Citrato de potássio + Citrato de sódio;145 mg/g + 463 mg/g + 390 mg/g;Granulado
Ácido cítrico + Óxido de magnésio + Picossulfato de sódio;10.97 g + 3.5 g + 0.01 g;Pó para solução oral
Ácido cítrico + Óxido de magnésio + Picossulfato de sódio;12 g + 3.5 g + 0.01 g;Pó para solução oral
Ácido clodrónico;520 mg;Comprimido revestido
Ácido cólico;250 mg;Cápsula
Ácido cólico;50 mg;Cápsula
Ácido cromoglícico;20 mg/ml;"Colírio; solução"
Ácido cromoglícico;20 mg/ml;Solução para inalação por nebulização
Ácido desoxicólico;10 mg/ml;Solução injetável
Ácido espaglúmico;49 mg/ml;"Colírio; solução"
Ácido flufenâmico + Ácido salicílico + Heparinóide;30 mg/g + 20 mg/g + 2 mg/g;Gel
Ácido flufenâmico + Heparinóide;30 mg/g + 2 mg/g;Creme
Ácido fólico;1 mg;Comprimido
Ácido fólico;1 mg/ml;Solução oral
Ácido fólico;400 µg;Comprimido
Ácido fólico;5 mg;Comprimido
Ácido fólico + Cianocobalamina;0.4 mg + 0.002 mg;Comprimido
Ácido fólico + Cianocobalamina + Iodo;0.4 mg + 0.002 mg + 0.2 mg;Comprimido
Ácido fólico + Complexo hidróxido férrico-polimaltose;0.35 mg + 357 mg;Comprimido para mastigar
Ácido fólico + Ferro;1 mg + 90 mg;Comprimido revestido por película
Ácido fusídico;10 mg/g;Gel oftálmico
Ácido fusídico;20 mg/g;Creme
Ácido fusídico;20 mg/g;Pomada
Ácido fusídico;250 mg;Comprimido revestido
Ácido gadoxético;0.25 mmol/ml;Solução injetável
Ácido hialurónico;20 mg/2 ml;Solução injetável
Ácido ibandrónico;1 mg/1 ml;Concentrado para solução para perfusão
Ácido ibandrónico;150 mg;Comprimido revestido por película
Ácido ibandrónico;2 mg/2 ml;Concentrado para solução para perfusão
Ácido ibandrónico;3 mg/3 ml;Solução injetável
Ácido ibandrónico;3 mg/3 ml;Solução injetável em seringa pré-cheia
Ácido ibandrónico;50 mg;Comprimido revestido
Ácido ibandrónico;50 mg;Comprimido revestido por película
Ácido ibandrónico;6 mg/6 ml;Concentrado para solução para perfusão
Ácido ibandrónico + Colecalciferol;150 mg + 22400 U.I.;Comprimido revestido por película
Ácido ioxitalâmico;650.9 mg/ml + 96.6 mg/ml;Solução injetável
Ácido ioxitalâmico;660.3 mg/ml;Solução oral
Ácido lipoico;600 mg/24 ml;Solução injetável
Ácido mefenâmico;250 mg;Cápsula
Ácido micofenólico;180 mg;Comprimido gastrorresistente
Ácido micofenólico;360 mg;Comprimido gastrorresistente
Ácido obeticólico;10 mg;Comprimido revestido por película
Ácido obeticólico;5 mg;Comprimido revestido por película
Ácido para-aminossalicílico;4 g;Granulado gastrorresistente
Ácido para-aminossalicílico;500 mg;Comprimido revestido
Ácido quenodesoxicólico;125 mg;Cápsula
Ácido quenodesoxicólico;250 mg;Cápsula
Ácido salicílico;100 mg/ml;Solução cutânea
Ácido salicílico;167 mg/g;Solução cutânea
Ácido salicílico;270 mg/g;Pomada
Ácido salicílico;32 mg;Penso impregnado
Ácido salicílico;83 mg/ml;Solução cutânea
Ácido salicílico + Ácido láctico;193 mg/ml + 232 mg/ml;Solução cutânea
Ácido salicílico + Fluorouracilo;100 mg/g + 5 mg/g;Solução cutânea
Ácido salicílico + Fluorouracilo;100 mg/ml + 5 mg/ml;Solução cutânea
Ácido salicílico + Heparinóide;2 mg/g + 20 mg/g;Creme
Ácido salicílico + Heparinóide;2 mg/g + 20 mg/g;Gel
Ácido salicílico + Mentol + Nicotinato de benzilo;65 mg/g + 5 mg/g + 10 mg/g;Creme
Ácido salicílico + Ruibarbo;10 mg/ml + 50 mg/ml;Solução bucal
Ácido salicílico + Salicilato de metilo + Capsaícina + Mentol;Associação;Pomada
Ácido tranexâmico;100 mg/ml;Solução injetável
Ácido tranexâmico;100 mg/ml;Solução injetável ou para perfusão
Ácido tranexâmico;1000 mg;Comprimido revestido por película
Ácido tranexâmico;250 mg;Comprimido revestido por película
Ácido tranexâmico;500 mg;Comprimido revestido por película
Ácido tranexâmico;750 mg;Comprimido revestido por película
Ácido ursodesoxicólico;250 mg;Cápsula
Ácido ursodesoxicólico;250 mg;Comprimido revestido por película
Ácido ursodesoxicólico;500 mg;Comprimido revestido por película
Ácido valpróico;100 mg;Granulado de libertação modificada
Ácido valpróico;100 mg/ml;Solução injetável
Ácido valpróico;1000 mg;Granulado de libertação modificada
Ácido valpróico;1000 mg;Granulado de libertação prolongada
Ácido valpróico;150 mg;Cápsula de libertação prolongada
Ácido valpróico;200 mg;Comprimido revestido
Ácido valpróico;200 mg/ml;Solução oral
Ácido valpróico;250 mg;Granulado de libertação modificada
Ácido valpróico;300 mg;Cápsula de libertação prolongada
Ácido valpróico;300 mg;Comprimido de libertação prolongada
Ácido valpróico;40 mg/ml;Xarope
Ácido valpróico;400 mg/4 ml;Pó e solvente para solução injetável
Ácido valpróico;50 mg;Granulado de libertação modificada
Ácido valpróico;500 mg;Comprimido de libertação prolongada
Ácido valpróico;500 mg;Comprimido gastrorresistente
Ácido valpróico;500 mg;Granulado de libertação modificada
Ácido valpróico;500 mg;Granulado de libertação prolongada
Ácido valpróico;750 mg;Granulado de libertação modificada
Ácido zoledrónico;4 mg/100 ml;Solução para perfusão
Ácido zoledrónico;4 mg/100ml;Solução para perfusão
Ácido zoledrónico;4 mg/5 ml;Concentrado para solução para perfusão
Ácido zoledrónico;4 mg/5 ml;Pó e solvente para solução para perfusão
Ácido zoledrónico;5 mg/100 ml;Solução para perfusão
Ácido zoledrónico;5 mg/100ml;Solução para perfusão
Acitretina;10 mg;Cápsula
Acitretina;25 mg;Cápsula
Adalimumab;20 mg/0.2 ml;Solução injetável em seringa pré-cheia
Adalimumab;20 mg/0.4 ml;Solução injetável em seringa pré-cheia
Adalimumab;40 mg/0.4 ml;Solução injetável em caneta pré-cheia
Adalimumab;40 mg/0.4 ml;Solução injetável em seringa pré-cheia
Adalimumab;40 mg/0.8 ml;Solução injetável
Adalimumab;40 mg/0.8 ml;Solução injetável em caneta pré-cheia
Adalimumab;40 mg/0.8 ml;Solução injetável em seringa pré-cheia
Adalimumab;80 mg/0.8 ml;Solução injetável em caneta pré-cheia
Adalimumab;80 mg/0.8 ml;Solução injetável em seringa pré-cheia
Adapaleno;1 mg/g;Creme
Adapaleno;1 mg/g;Gel
Adapaleno + Peróxido de benzoílo;1 mg/g + 25 mg/g;Gel
Adapaleno + Peróxido de benzoílo;3 mg/g + 25 mg/g;Gel
Adefovir;10 mg;Comprimido
Adenosina;12 mg/4 ml;Solução injetável em seringa pré-cheia
Adenosina;3 mg/1 ml;Solução injetável em seringa pré-cheia
Adenosina;3 mg/ml;Solução para perfusão
Adenosina;6 mg/2 ml;Solução injetável
Adenosina;6 mg/2 ml;Solução injetável em seringa pré-cheia
Adrenalina;0.1 mg/1 ml;Solução injetável
Adrenalina;0.1 mg/ml;Solução injetável em seringa pré-cheia
Adrenalina;0.15 mg/0.3 ml;Solução injetável em seringa pré-cheia
Adrenalina;0.25 mg/1 ml;Solução injetável
Adrenalina;0.3 mg/0.3 ml;Solução injetável em seringa pré-cheia
Adrenalina;0.5 mg/0.3 ml;Solução injetável em seringa pré-cheia
Adrenalina;0.5 mg/0.5 ml;Solução injetável em caneta pré-cheia
Adrenalina;1 mg/1 ml;Solução injetável
Adrenalina;2 mg/1 ml;Solução injetável
Afamelanotido;16 mg;Implante
Afatinib;20 mg;Comprimido revestido por película
Afatinib;30 mg;Comprimido revestido por película
Afatinib;40 mg;Comprimido revestido por película
Afatinib;50 mg;Comprimido revestido por película
Aflibercept;25 mg/ml;Concentrado para solução para perfusão
Aflibercept;40 mg/ml;Solução injetável
Agalsidase alfa;1 mg/ml;Concentrado para solução para perfusão
Agalsidase beta;35 mg;Pó para solução para perfusão
Agalsidase beta;5 mg;Pó para solução para perfusão
Agomelatina;25 mg;Comprimido revestido por película
Água para preparações injectáveis;100%;Solução injetável
Água para preparações injectáveis;100%;Solvente/Veículo para uso parentérico
Alanina-Glutamina;200 mg/ml;Concentrado para solução para perfusão
Albendazol;20 mg/ml;Suspensão oral
Albendazol;400 mg;Comprimido
Albumina humana;200 g/l;Solução injetável
Albumina humana;200 g/l;Solução para perfusão
Albumina humana;250 g/l;Solução para perfusão
Albumina humana;50 g/l;Solução para perfusão
Albutrepenonacog alfa;100 U.I./ml;Pó e solvente para solução injetável
Albutrepenonacog alfa;200 U.I./ml;Pó e solvente para solução injetável
Albutrepenonacog alfa;400 U.I./ml;Pó e solvente para solução injetável
Alcatrão mineral;40 mg/g;Champô
Álcool diclorobenzílico + Amilmetacresol;1.2 mg + 0.6 mg;Pastilha
Álcool diclorobenzílico + Benzidamina;0.24 mg/ml + 1.5 mg/ml;Solução bucal
Álcool diclorobenzílico + Benzidamina;1.2 mg + 3 mg;Comprimido para chupar
Álcool diclorobenzílico + Benzidamina;6 mg/ml + 1.5 mg/ml;Solução para pulverização bucal
Álcool isopropílico + Álcool propílico + Etilsulfato de mecetrónio;450 mg/g + 300 mg/g + 2 mg/g;Solução cutânea
Álcool isopropílico + Etanol;83 mg/ml + 654.3 mg/ml;Solução cutânea
Alectinib;150 mg;Cápsula
Alemtuzumab;10 mg/ml;Concentrado para solução para perfusão
Alergenos;Associação;Emplastro para prova de provocação
Alergenos de polen;(100 IR) + (300 IR);Comprimido sublingual
Alergenos de polen;300 IR;Comprimido sublingual
Alfacalcidol;0.25 µg;Cápsula
Alfacalcidol;0.5 µg;Cápsula
Alfacalcidol;1 µg;Cápsula
Alfacalcidol;2 µg/ml;Solução para perfusão
Alfatocoferol;150 mg;Cápsula
Alfentanilo;1 mg/2 ml;Solução injetável
Alfentanilo;1 mg/2 ml;Solução injetável ou para perfusão
Alfentanilo;25 mg/50 ml;Solução injetável
Alfentanilo;5 mg/10 ml;Solução injetável
Alfentanilo;5 mg/10 ml;Solução injetável ou para perfusão
Alfuzosina;10 mg;Comprimido de libertação modificada
Alfuzosina;10 mg;Comprimido de libertação prolongada
Alfuzosina;5 mg;Comprimido de libertação prolongada
Alginato de sódio + Bicarbonato de sódio + Carbonato de cálcio;250 mg + 133.5 mg + 80 mg;Comprimido para mastigar
Alginato de sódio + Bicarbonato de sódio + Carbonato de cálcio;Associação;Suspensão oral
Alglucosidase alfa;50 mg;Pó para concentrado para solução para perfusão
Alirocumab;150 mg/1 ml;Solução injetável em caneta pré-cheia
Alirocumab;150 mg/1 ml;Solução injetável em seringa pré-cheia
Alirocumab;75 mg/1 ml;Solução injetável em caneta pré-cheia
Alirocumab;75 mg/1 ml;Solução injetável em seringa pré-cheia
Aliscireno;150 mg;Comprimido revestido por película
Aliscireno;300 mg;Comprimido revestido por película
Aliscireno + Hidroclorotiazida;150 mg + 12.5 mg;Comprimido revestido por película
Aliscireno + Hidroclorotiazida;150 mg + 25 mg;Comprimido revestido por película
Aliscireno + Hidroclorotiazida;300 mg + 12.5 mg;Comprimido revestido por película
Aliscireno + Hidroclorotiazida;300 mg + 25 mg;Comprimido revestido por película
Alitretinoína;1 mg/g;Gel
Alitretinoína;10 mg;Cápsula mole
Alitretinoína;30 mg;Cápsula mole
Almotriptano;12.5 mg;Comprimido revestido por película
Alogliptina;12.5 mg;Comprimido revestido por película
Alogliptina;25 mg;Comprimido revestido por película
Alogliptina;6.25 mg;Comprimido revestido por película
Alopurinol;100 mg;Comprimido
Alopurinol;300 mg;Comprimido
Alpelisib;(50 mg) + (200 mg);Comprimido revestido por película
Alpelisib;150 mg;Comprimido revestido por película
Alpelisib;200 mg;Comprimido revestido por película
Alprazolam;0.25 mg;Comprimido
Alprazolam;0.5 mg;Comprimido
Alprazolam;0.5 mg;Comprimido de libertação modificada
Alprazolam;1 mg;Comprimido
Alprazolam;1 mg;Comprimido de libertação modificada
Alprazolam;2 mg;Comprimido de libertação modificada
Alprazolam;3 mg;Comprimido de libertação modificada
Alprostadilo;0.01 mg/1 ml;Pó e solvente para solução injetável
Alprostadilo;0.02 mg;Pó para solução para perfusão
Alprostadilo;0.02 mg/1 ml;Pó e solvente para solução injetável
Alprostadilo;0.125 mg;Lápis uretral
Alprostadilo;0.2 mg/100 mg;Creme
Alprostadilo;0.25 mg;Lápis uretral
Alprostadilo;0.3 mg/100 mg;Creme
Alprostadilo;0.5 mg;Lápis uretral
Alprostadilo;0.5 mg/1 ml;Solução injetável
Alprostadilo;1 mg;Lápis uretral
Alteplase;10 mg/10 ml;Pó e solvente para solução injetável ou para perfusão
Alteplase;2 mg;Pó para solução injetável ou para perfusão
Alteplase;20 mg/20 ml;Pó e solvente para solução injetável ou para perfusão
Alteplase;50 mg/50 ml;Pó e solvente para solução injetável ou para perfusão
Altizida + Espironolactona;15 mg + 25 mg;Comprimido
Amantadina;100 mg;Cápsula
Ambrisentano;10 mg;Comprimido revestido por película
Ambrisentano;5 mg;Comprimido revestido por película
Ambroxol;120 mg;Cápsula de libertação prolongada
Ambroxol;15 mg;Pastilha mole
Ambroxol;15 mg/2 ml;Solução injetável
Ambroxol;3 mg/ml;Xarope
Ambroxol;30 mg;Comprimido
Ambroxol;30 mg/10 ml;Xarope
Ambroxol;50 mg/ml;Solução oral
Ambroxol;6 mg/ml;Xarope
Ambroxol;75 mg;Cápsula de libertação prolongada
Ambroxol + Clenbuterol;1.5 mg/ml + 0.001 mg/ml;Xarope
Ambroxol + Clenbuterol;3 mg/ml + 0.002 mg/ml;Xarope
Ambroxol + Clenbuterol;30 mg + 0.02 mg;Comprimido
Ambroxol + Clenbuterol;30 mg + 0.02 mg;Granulado
Amicacina;100 mg/2 ml;Solução injetável
Amicacina;500 mg/2 ml;Solução injetável
Amidotrizoato de meglumina + Amidotrizoato de sódio;660 mg/ml + 100 mg/ml;Solução gastroentérica
Amidotrizoato de meglumina + Amidotrizoato de sódio;660 mg/ml + 100 mg/ml;Solução injetável
Amifampridina;10 mg;Comprimido
Amilase;200 U.CEIP/ml;Xarope
Amilase;3000 U.CEIP;Comprimido revestido
Amilase + Bromoprida + Lipase + Pepsina + Simeticone;Associação;Cápsula
Aminaftona;75 mg;Cápsula
Aminoácidos;100 mg/ml;Solução para perfusão
Aminoácidos;50 mg/ml;Solução para perfusão
Aminoácidos;Associação;Comprimido revestido
Aminoácidos;Associação;Solução para perfusão
Aminoácidos + Electrólitos;100 mg/ml;Solução para perfusão
Aminoácidos + Electrólitos;Associação;Solução para diálise peritoneal
Aminoácidos + Electrólitos;Associação;Solução para perfusão
Aminoácidos + Electrólitos + Glucose;Associação;Solução para perfusão
Aminoácidos + Electrólitos + Glucose + Lípidos;Associação;Emulsão para perfusão
Aminoácidos + Glucose + Lípidos;Associação;Emulsão para perfusão
Aminofilina;225 mg;Comprimido de libertação prolongada
Aminofilina;240 mg/10 ml;Solução injetável
Aminofilina;250 mg/10 ml;Solução injetável
Aminolevulinato de hexilo;85 mg/50 ml;Pó e solvente para solução para uso intravesical
Aminolevulinato de metilo;160 mg/g;Creme
Amiodarona;150 mg/3 ml;Solução injetável
Amiodarona;200 mg;Comprimido
Amissulprida;100 mg;Comprimido
Amissulprida;200 mg;Comprimido
Amissulprida;400 mg;Comprimido revestido por película
Amissulprida;50 mg;Comprimido
Amissulprida;50 mg/10 ml;Solução oral
Amitriptilina;10 mg;Comprimido revestido
Amitriptilina;25 mg;Comprimido revestido
Amitriptilina;75 mg;Comprimido revestido
Amlexanox;50 mg/g;Pasta bucal
Amlodipina;10 mg;Comprimido
Amlodipina;5 mg;Comprimido
Amlodipina + Atorvastatina;10 mg + 10 mg;Comprimido revestido por película
Amlodipina + Atorvastatina;10 mg + 20 mg;Comprimido revestido por película
Amlodipina + Atorvastatina;5 mg + 10 mg;Comprimido revestido por película
Amlodipina + Atorvastatina;5 mg + 20 mg;Comprimido revestido por película
Amlodipina + Candesartan;10 mg + 16 mg;Cápsula
Amlodipina + Candesartan;10 mg + 16 mg;Comprimido
Amlodipina + Candesartan;10 mg + 8 mg;Cápsula
Amlodipina + Candesartan;5 mg + 16 mg;Cápsula
Amlodipina + Candesartan;5 mg + 16 mg;Comprimido
Amlodipina + Candesartan;5 mg + 8 mg;Cápsula
Amlodipina + Candesartan;5 mg + 8 mg;Comprimido
Amlodipina + Olmesartan medoxomilo;10 mg + 40 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo;5 mg + 20 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo;5 mg + 40 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida;10 mg + 40 mg + 12.5 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida;10 mg + 40 mg + 25 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida;5 mg + 20 mg + 12.5 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida;5 mg + 40 mg + 12.5 mg;Comprimido revestido por película
Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida;5 mg + 40 mg + 25 mg;Comprimido revestido por película
Amlodipina + Telmisartan;10 mg + 40 mg;Comprimido
Amlodipina + Telmisartan;10 mg + 80 mg;Comprimido
Amlodipina + Telmisartan;5 mg + 40 mg;Comprimido
Amlodipina + Telmisartan;5 mg + 80 mg;Comprimido
Amlodipina + Valsartan;10 mg + 160 mg;Comprimido revestido por película
Amlodipina + Valsartan;10 mg + 320 mg;Comprimido revestido por película
Amlodipina + Valsartan;5 mg + 160 mg;Comprimido revestido por película
Amlodipina + Valsartan;5 mg + 320 mg;Comprimido revestido por película
Amlodipina + Valsartan;5 mg + 80 mg;Comprimido revestido por película
Amlodipina + Valsartan + Hidroclorotiazida;10 mg + 160 mg + 12.5 mg;Comprimido revestido por película
Amlodipina + Valsartan + Hidroclorotiazida;10 mg + 160 mg + 25 mg;Comprimido revestido por película
Amlodipina + Valsartan + Hidroclorotiazida;10 mg + 320 mg + 25 mg;Comprimido revestido por película
Amlodipina + Valsartan + Hidroclorotiazida;5 mg + 160 mg + 12.5 mg;Comprimido revestido por película
Amlodipina + Valsartan + Hidroclorotiazida;5 mg + 160 mg + 25 mg;Comprimido revestido por película
Amorolfina;2.5 mg/g;Creme
Amorolfina;50 mg/ml;Verniz para as unhas medicamentoso
Amoxicilina;1000 mg;Comprimido
Amoxicilina;1000 mg;Comprimido dispersível
Amoxicilina;1000 mg/20 ml;Pó e solvente para solução injetável
Amoxicilina;1000 mg/5 ml;Pó e solvente para solução injetável
Amoxicilina;125 mg/5 ml;Pó para suspensão oral
Amoxicilina;250 mg/5 ml;Pó para suspensão oral
Amoxicilina;3000 mg;Pó para suspensão oral
Amoxicilina;375 mg;Comprimido dispersível
Amoxicilina;500 mg;Cápsula
Amoxicilina;500 mg;Comprimido dispersível
Amoxicilina;500 mg/10 ml;Pó e solvente para solução injetável
Amoxicilina;500 mg/5 ml;Pó e solvente para solução injetável
Amoxicilina;500 mg/5 ml;Pó para suspensão oral
Amoxicilina;750 mg;Comprimido dispersível
Amoxicilina + Ácido clavulânico;1000 mg + 100 mg;Pó para solução injetável ou para perfusão
Amoxicilina + Ácido clavulânico;1000 mg + 100 mg;Pó para solução para perfusão
Amoxicilina + Ácido clavulânico;1000 mg + 200 mg;Pó para solução injetável
Amoxicilina + Ácido clavulânico;1000 mg + 200 mg;Pó para solução injetável ou para perfusão
Amoxicilina + Ácido clavulânico;1000 mg/20 ml + 200 mg/20 ml;Pó e solvente para solução injetável
Amoxicilina + Ácido clavulânico;125 mg/5 ml + 31.25 mg/5 ml;Pó para suspensão oral
Amoxicilina + Ácido clavulânico;2000 mg + 200 mg;Pó para solução injetável
Amoxicilina + Ácido clavulânico;2000 mg + 200 mg;Pó para solução para perfusão
Amoxicilina + Ácido clavulânico;250 mg/5 ml + 62.5 mg/5 ml;Pó para suspensão oral
